iter	Logloss
0	0.6761498405
1	0.6596827861
2	0.6440044972
3	0.6292574777
4	0.6153160395
5	0.6024856155
6	0.5899605655
7	0.578246699
8	0.5671712722
9	0.5564338494
10	0.5462612137
11	0.5367170997
12	0.5274919071
13	0.518771831
14	0.5102750693
15	0.5024735915
16	0.4947090272
17	0.4872173269
18	0.4800552647
19	0.4733700909
20	0.466841936
21	0.460613095
22	0.454722101
23	0.4490207624
24	0.4436712256
25	0.4385360965
26	0.4338011174
27	0.4290289008
28	0.4245342901
29	0.4201872586
30	0.4159807084
31	0.4119817732
32	0.4081679739
33	0.4044716179
34	0.400955112
35	0.3975247855
36	0.3942842667
37	0.3912045726
38	0.3882056041
39	0.385347872
40	0.3826930609
41	0.3800298974
42	0.3774658791
43	0.3750109645
44	0.3726274529
45	0.3703211243
46	0.3681663981
47	0.3661682758
48	0.364152313
49	0.3621863425
50	0.3602966804
51	0.3585084406
52	0.3568283715
53	0.3552058995
54	0.3536464609
55	0.3521310818
56	0.3506445645
57	0.3491330694
58	0.347828962
59	0.3464746788
60	0.3451910498
61	0.3439516628
62	0.3427389148
63	0.3415946246
64	0.3404725101
65	0.3394465288
66	0.3383959518
67	0.337383894
68	0.3364035643
69	0.3354475319
70	0.3346325213
71	0.3337928319
72	0.3329092159
73	0.332065556
74	0.3312928323
75	0.3305914108
76	0.3299439313
77	0.329258115
78	0.328577386
79	0.3278788199
80	0.3272408869
81	0.3266028692
82	0.3260169853
83	0.325492281
84	0.3249333198
85	0.3243913
86	0.3238531422
87	0.3234153197
88	0.32290509
89	0.3224098863
90	0.3219812547
91	0.3215391086
92	0.3211765328
93	0.3207912695
94	0.3203359862
95	0.3199473379
96	0.3195658755
97	0.3192033844
98	0.318836043
99	0.318498431
