iter	Passed	Remaining
0	26	2584
1	35	1758
2	62	2008
3	117	2818
4	137	2614
5	161	2537
6	183	2443
7	199	2295
8	224	2265
9	250	2255
10	298	2411
11	325	2385
12	338	2267
13	359	2210
14	379	2149
15	391	2053
16	431	2106
17	453	2067
18	475	2025
19	506	2026
20	531	1997
21	544	1930
22	559	1872
23	598	1894
24	622	1867
25	641	1826
26	662	1790
27	686	1765
28	714	1750
29	726	1694
30	772	1719
31	793	1686
32	816	1656
33	836	1623
34	856	1590
35	876	1558
36	904	1540
37	962	1570
38	998	1562
39	1032	1549
40	1089	1567
41	1116	1542
42	1156	1532
43	1171	1491
44	1203	1470
45	1264	1483
46	1296	1462
47	1326	1436
48	1355	1410
49	1404	1404
50	1434	1378
51	1464	1352
52	1489	1320
53	1510	1286
54	1564	1279
55	1596	1254
56	1623	1224
57	1655	1198
58	1689	1174
59	1740	1160
60	1756	1123
61	1784	1093
62	1827	1073
63	1887	1061
64	1919	1033
65	1955	1007
66	1989	979
67	2026	953
68	2084	936
69	2106	902
70	2122	866
71	2143	833
72	2166	801
73	2188	768
74	2211	737
75	2253	711
76	2268	677
77	2294	647
78	2317	616
79	2341	585
80	2364	554
81	2406	528
82	2428	497
83	2453	467
84	2483	438
85	2511	408
86	2536	379
87	2544	346
88	2585	319
89	2608	289
90	2629	260
91	2657	231
92	2679	201
93	2704	172
94	2806	147
95	2828	117
96	2854	88
97	2881	58
98	2908	29
99	2957	0
